Description,Department,Category,Vendor,Amount
Office Rent,Operations,Facilities,ABC Properties,5000
Employee Salaries,HR,Personnel,Internal,45000
Software Licenses,IT,Software,TechCorp,3000
Marketing Campaign,Marketing,Advertising,Media Agency,12000
Utilities,Operations,Utilities,Power Co,1500
Travel Expenses,Sales,Travel,Travel Plus,8000
Office Supplies,Operations,Supplies,Office Depot,800
Professional Services,Executive,Consulting,Consulting Inc,5000
Equipment Purchase,IT,Hardware,Tech Store,7500
Insurance Premium,Finance,Insurance,InsureCo,3200
Training Programs,HR,Development,Training Pro,4500
Client Entertainment,Sales,Entertainment,Various,2500
